en-CA,en-US,fr,es,de,zh,ru,he
INTERFACE PREFERENCES, INTERFACE PREFERENCES, PRÉFÉRENCES D'INTERFACE, PREFERENCIAS DE INTERFAZ, SCHNITTSTELLENEINSTELLUNGEN,界面偏好,ПРЕДПОЧТЕНИЯ ИНТЕРФЕЙСА,העדפות ממשק
You have pushed the button this many times:,You have pushed the button this many times:,Vous avez appuyé sur le bouton autant de fois:,Has presionado el botón tantas veces:,Sie haben den Knopf so oft gedrückt:,你已经按了很多次了,Вы нажимали кнопку так много раз,לחצתם על הכפתור פעמים רבות
Switch around dialogue buttons,Switch around dialog buttons,Changer les boutons de dialogue,Cambiar los botones de diálogo,Dialogschaltflächen umschalten,切换对话按钮,Переключение кнопок диалога,החלף לחצני דיאלוג
NOTIFICATIONS PREFERENCES,NOTIFICATIONS PREFERENCES,NOTIFICATIONS PRÉFÉRENCES,PREFERENCIAS DE NOTIFICACIONES,MITTEILUNGEN BEITRÄGE,通知首选项,УВЕДОМЛЕНИЯ ПРЕДПОЧТЕНИЯ,העדפות הודעות
Notification Settings,Notification Settings,Paramètres de notification,Configuración de las notificaciones,Benachrichtigungseinstellungen,通知设置,Настройки уведомлений,הגדרות התראה
Notification behaviour popup settings and LED Colour,Notification behavior popup settings and LED Colour,Paramètres contextuels du comportement de notification et couleur du voyant,Configuración emergente de comportamiento de notificación y color de LED,Popup-Einstellungen für das Benachrichtigungsverhalten und LED-Farbe,通知行为弹出设置和LED颜色,Настройки всплывающих окон поведения уведомлений и цвет светодиода,הגדרות קופצות להתנהגות התראות וצבע LED
RECORD PREFERENCES,RECORD PREFERENCES,ENREGISTRER LES PRÉFÉRENCES,REGISTRO DE PREFERENCIAS,AUFZEICHNUNGSVORZUGUNGEN,记录偏好,ЗАПИСАТЬ ПРЕДПОЧТЕНИЯ,העדפות הקלטה
Item Record Preferences,Item Record Preferences,Préférences d'enregistrement d'élément,Preferencias de registro de elementos,Einstellungen für Artikeldatensätze,项目记录首选项,Настройки записи предметов,העדפות שיא פריט
How certain records are further handled,How certain records are further handled,Comment certains enregistrements sont traités ultérieurement,Cómo se manejan más ciertos registros,Wie bestimmte Datensätze weiter behandelt werden,如何进一步处理某些记录,Как в дальнейшем обрабатываются определенные записи,כיצד מטפלים עוד יותר ברשומות מסוימות
My ToDos,My ToDos,Mes ToDos,Mis ToDos,Meine Aufgaben,我的待办事项,Мои задачи,ToDos שלי
